cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Tumor type,RAS,head and neck cancer,Not Applicable or Heme,4,67,0.047,0.043,0.023,0.094,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,head and neck cancer,Primary,46,938,0.046,0.046,0.034,0.061,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,uterine cancer,Metastasis,90,586,0.163,0.163,0.136,0.187,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,uterine cancer,Not Applicable or Heme,13,76,0.171,0.17,0.129,0.218,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,uterine cancer,Primary,270,1541,0.173,0.173,0.156,0.191,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,uterine cancer,Unspecified,11,51,0.176,0.173,0.137,0.238,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-melanoma skin cancers,Metastasis,8,203,0.038,0.036,0.02,0.062,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-melanoma skin cancers,Not Applicable or Heme,2,22,0.045,0.038,0.019,0.123,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-melanoma skin cancers,Primary,8,287,0.033,0.033,0.017,0.053,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Metastasis,1,11,0.072,0.064,0.025,0.17,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Not Applicable or Heme,45,915,0.053,0.053,0.039,0.068,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Primary,23,250,0.079,0.078,0.051,0.118,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Unspecified,2,31,0.066,0.063,0.026,0.13,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,adrenocortical carcinoma,Metastasis,1,55,0.014,0.01,0.001,0.055,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,adrenocortical carcinoma,Primary,0,72,0.006,0.003,0,0.027,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,ovarian cancer,Metastasis,106,1088,0.103,0.103,0.085,0.12,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,ovarian cancer,Not Applicable or Heme,16,160,0.108,0.109,0.076,0.14,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,ovarian cancer,Primary,133,1060,0.12,0.12,0.103,0.141,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,ovarian cancer,Unspecified,5,28,0.121,0.115,0.081,0.197,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,esophagogastric cancer,Metastasis,25,462,0.056,0.056,0.041,0.072,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,esophagogastric cancer,Not Applicable or Heme,2,43,0.056,0.056,0.031,0.083,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,esophagogastric cancer,Primary,74,1283,0.057,0.057,0.046,0.069,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,esophagogastric cancer,Unspecified,1,14,0.058,0.056,0.031,0.096,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,thyroid cancer,Metastasis,63,402,0.169,0.169,0.131,0.207,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,thyroid cancer,Not Applicable or Heme,7,28,0.213,0.203,0.134,0.337,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,thyroid cancer,Primary,127,582,0.212,0.211,0.18,0.247,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cervical cancer,Metastasis,17,136,0.107,0.104,0.066,0.165,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cervical cancer,Not Applicable or Heme,1,12,0.093,0.088,0.027,0.197,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cervical cancer,Primary,14,211,0.078,0.077,0.045,0.115,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,hepatobiliary cancer,Metastasis,62,438,0.134,0.132,0.109,0.165,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,hepatobiliary cancer,Not Applicable or Heme,5,34,0.131,0.128,0.087,0.201,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,hepatobiliary cancer,Primary,103,895,0.12,0.12,0.1,0.14,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,kidney cancer,Metastasis,5,445,0.01,0.009,0.005,0.019,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,kidney cancer,Not Applicable or Heme,0,24,0.01,0.009,0,0.024,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,kidney cancer,Primary,8,944,0.009,0.009,0.005,0.015,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,mature t and nk neoplasms,Metastasis,0,10,0.02,0.017,0,0.068,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,mature t and nk neoplasms,Not Applicable or Heme,0,29,0.017,0.015,0,0.05,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,mature t and nk neoplasms,Primary,5,187,0.024,0.022,0.008,0.049,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cns cancer,Metastasis,8,409,0.016,0.015,0.01,0.026,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cns cancer,Not Applicable or Heme,6,526,0.014,0.014,0.008,0.021,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cns cancer,Primary,50,3522,0.015,0.014,0.011,0.018,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,cns cancer,Unspecified,3,108,0.017,0.015,0.01,0.033,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,prostate cancer,Metastasis,11,901,0.013,0.013,0.008,0.019,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,prostate cancer,Not Applicable or Heme,0,57,0.013,0.012,0.001,0.024,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,prostate cancer,Primary,20,1468,0.013,0.013,0.009,0.019,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,prostate cancer,Unspecified,1,12,0.02,0.014,0.007,0.092,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,anal cancer,Metastasis,2,59,0.036,0.033,0.009,0.079,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,anal cancer,Primary,3,84,0.036,0.033,0.011,0.078,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,neuroendocrine tumors,Metastasis,11,143,0.09,0.089,0.054,0.129,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,neuroendocrine tumors,Not Applicable or Heme,3,20,0.105,0.098,0.056,0.205,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,neuroendocrine tumors,Primary,20,196,0.098,0.097,0.066,0.136,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,bladder cancer,Metastasis,28,390,0.08,0.081,0.056,0.102,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,bladder cancer,Not Applicable or Heme,3,25,0.092,0.088,0.053,0.164,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,bladder cancer,Primary,107,1164,0.09,0.089,0.075,0.106,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b-lymphoblastic leukemia/lymphoma,Metastasis,0,13,0.096,0.093,0.001,0.222,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b-lymphoblastic leukemia/lymphoma,Not Applicable or Heme,21,109,0.183,0.18,0.121,0.259,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b-lymphoblastic leukemia/lymphoma,Primary,10,101,0.115,0.112,0.058,0.183,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b-lymphoblastic leukemia/lymphoma,Unspecified,8,25,0.252,0.239,0.123,0.452,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,small bowel cancer,Metastasis,34,78,0.428,0.427,0.342,0.52,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,small bowel cancer,Primary,53,128,0.419,0.419,0.344,0.495,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,sex cord stromal tumor,Metastasis,1,49,0.029,0.025,0.004,0.074,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,sex cord stromal tumor,Primary,2,54,0.033,0.029,0.006,0.082,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,bone cancer,Metastasis,2,203,0.011,0.01,0.003,0.023,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,bone cancer,Not Applicable or Heme,0,25,0.01,0.009,0,0.027,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,bone cancer,Primary,4,326,0.011,0.01,0.004,0.022,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,bone cancer,Unspecified,0,16,0.011,0.01,0,0.029,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,vaginal cancer,Metastasis,2,16,0.095,0.084,0.027,0.23,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,vaginal cancer,Primary,4,60,0.077,0.073,0.027,0.149,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,thymic tumor,Metastasis,3,61,0.045,0.042,0.015,0.095,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,thymic tumor,Primary,3,84,0.041,0.038,0.013,0.082,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,ampullary cancer,Metastasis,15,23,0.591,0.584,0.446,0.769,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,ampullary cancer,Primary,43,82,0.54,0.541,0.437,0.639,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,small cell lung cancer,Metastasis,10,207,0.043,0.041,0.023,0.072,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,small cell lung cancer,Primary,5,183,0.035,0.034,0.014,0.059,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,mesothelioma,Metastasis,0,82,0.002,0.001,0,0.011,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,mesothelioma,Primary,1,408,0.003,0.002,0,0.009,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,germ cell tumor,Metastasis,24,274,0.084,0.083,0.058,0.115,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,germ cell tumor,Not Applicable or Heme,2,81,0.058,0.06,0.012,0.1,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,germ cell tumor,Primary,49,517,0.09,0.089,0.068,0.116,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,germ cell tumor,Unspecified,0,14,0.064,0.069,0.003,0.12,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,nerve sheath tumor,Metastasis,1,16,0.034,0.024,0.004,0.134,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,nerve sheath tumor,Not Applicable or Heme,1,17,0.033,0.024,0.004,0.125,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,nerve sheath tumor,Primary,1,117,0.018,0.016,0.002,0.046,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,penile cancer,Metastasis,1,11,0.091,0.076,0.01,0.257,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,penile cancer,Primary,1,13,0.087,0.074,0.01,0.24,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,pheochromocytoma,Primary,1,18,0.061,0.047,0.002,0.2,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,pineal tumor,Primary,1,14,0.078,0.06,0.003,0.258,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b cell lymphoma,Metastasis,4,57,0.06,0.058,0.037,0.094,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b cell lymphoma,Not Applicable or Heme,10,145,0.06,0.059,0.04,0.089,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b cell lymphoma,Primary,39,709,0.057,0.056,0.042,0.073,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,b cell lymphoma,Unspecified,2,51,0.057,0.056,0.031,0.086,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,non-hodgkin lymphoma,Primary,1,14,0.08,0.061,0.003,0.259,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,t-lymphoblastic leukemia/lymphoma,Not Applicable or Heme,3,25,0.102,0.092,0.021,0.24,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,t-lymphoblastic leukemia/lymphoma,Primary,0,11,0.052,0.039,0,0.182,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,retinoblastoma,Not Applicable or Heme,0,10,0.002,0,0,0.022,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,retinoblastoma,Primary,0,41,0.001,0,0,0.015,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,hodgkin lymphoma,Primary,0,35,0.001,0,0,0.015,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,lung cancer,Primary,2,17,0.123,0.108,0.018,0.309,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,parathyroid cancer,Primary,2,13,0.164,0.146,0.025,0.398,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Tumor type,RAS,appendiceal cancer,Metastasis,67,174,0.397,0.397,0.324,0.468,RAS_12,12,Codon 12
single,Tumor type,RAS,appendiceal cancer,Not Applicable or Heme,2,10,0.351,0.374,0.104,0.519,RAS_12,12,Codon 12
single,Tumor type,RAS,appendiceal cancer,Primary,76,151,0.48,0.479,0.401,0.564,RAS_12,12,Codon 12
single,Tumor type,RAS,colorectal cancer,Metastasis,757,2354,0.319,0.318,0.302,0.336,RAS_12,12,Codon 12
single,Tumor type,RAS,colorectal cancer,Not Applicable or Heme,70,224,0.313,0.313,0.277,0.35,RAS_12,12,Codon 12
single,Tumor type,RAS,colorectal cancer,Primary,1267,4115,0.309,0.309,0.296,0.323,RAS_12,12,Codon 12
single,Tumor type,RAS,colorectal cancer,Unspecified,9,31,0.313,0.313,0.26,0.365,RAS_12,12,Codon 12
single,Tumor type,RAS,cancer of unknown primary,Metastasis,224,1389,0.161,0.161,0.143,0.181,RAS_12,12,Codon 12
single,Tumor type,RAS,cancer of unknown primary,Not Applicable or Heme,56,229,0.228,0.228,0.172,0.287,RAS_12,12,Codon 12
single,Tumor type,RAS,cancer of unknown primary,Primary,34,311,0.12,0.119,0.085,0.161,RAS_12,12,Codon 12
single,Tumor type,RAS,cancer of unknown primary,Unspecified,10,60,0.166,0.164,0.099,0.25,RAS_12,12,Codon 12
single,Tumor type,RAS,non-small cell lung cancer,Metastasis,820,3750,0.219,0.219,0.206,0.232,RAS_12,12,Codon 12
single,Tumor type,RAS,non-small cell lung cancer,Not Applicable or Heme,46,223,0.212,0.212,0.164,0.26,RAS_12,12,Codon 12
single,Tumor type,RAS,non-small cell lung cancer,Primary,1673,6059,0.275,0.275,0.264,0.286,RAS_12,12,Codon 12
single,Tumor type,RAS,non-small cell lung cancer,Unspecified,14,99,0.178,0.179,0.11,0.246,RAS_12,12,Codon 12
single,Tumor type,RAS,breast cancer,Metastasis,36,3094,0.011,0.011,0.008,0.015,RAS_12,12,Codon 12
single,Tumor type,RAS,breast cancer,Not Applicable or Heme,3,105,0.018,0.015,0.006,0.05,RAS_12,12,Codon 12
single,Tumor type,RAS,breast cancer,Primary,35,6125,0.006,0.006,0.004,0.008,RAS_12,12,Codon 12
single,Tumor type,RAS,soft tissue sarcoma,Metastasis,9,939,0.01,0.01,0.006,0.015,RAS_12,12,Codon 12
single,Tumor type,RAS,soft tissue sarcoma,Not Applicable or Heme,1,119,0.01,0.01,0.004,0.019,RAS_12,12,Codon 12
single,Tumor type,RAS,soft tissue sarcoma,Primary,19,1686,0.011,0.011,0.007,0.015,RAS_12,12,Codon 12
single,Tumor type,RAS,soft tissue sarcoma,Unspecified,0,29,0.01,0.01,0.003,0.019,RAS_12,12,Codon 12
single,Tumor type,RAS,pancreatic cancer,Metastasis,645,981,0.664,0.665,0.635,0.691,RAS_12,12,Codon 12
single,Tumor type,RAS,pancreatic cancer,Not Applicable or Heme,53,75,0.682,0.68,0.626,0.748,RAS_12,12,Codon 12
single,Tumor type,RAS,pancreatic cancer,Primary,979,1429,0.682,0.682,0.659,0.705,RAS_12,12,Codon 12
single,Tumor type,RAS,leukemia,Metastasis,2,15,0.092,0.09,0.062,0.135,RAS_12,12,Codon 12
single,Tumor type,RAS,leukemia,Not Applicable or Heme,86,923,0.091,0.091,0.076,0.108,RAS_12,12,Codon 12
single,Tumor type,RAS,leukemia,Primary,33,412,0.087,0.087,0.067,0.107,RAS_12,12,Codon 12
single,Tumor type,RAS,leukemia,Unspecified,20,217,0.091,0.09,0.068,0.116,RAS_12,12,Codon 12
single,Tumor type,RAS,melanoma,Metastasis,40,1738,0.023,0.023,0.017,0.031,RAS_12,12,Codon 12
single,Tumor type,RAS,melanoma,Not Applicable or Heme,1,188,0.013,0.012,0.001,0.032,RAS_12,12,Codon 12
single,Tumor type,RAS,melanoma,Primary,38,898,0.04,0.04,0.027,0.054,RAS_12,12,Codon 12
single,Tumor type,RAS,melanoma,Unspecified,0,22,0.02,0.018,0,0.061,RAS_12,12,Codon 12
single,Tumor type,RAS,head and neck cancer,Metastasis,9,731,0.015,0.015,0.008,0.022,RAS_12,12,Codon 12
single,Tumor type,RAS,head and neck cancer,Not Applicable or Heme,2,67,0.018,0.016,0.008,0.041,RAS_12,12,Codon 12
single,Tumor type,RAS,head and neck cancer,Primary,16,938,0.016,0.016,0.01,0.024,RAS_12,12,Codon 12
single,Tumor type,RAS,uterine cancer,Metastasis,69,586,0.126,0.127,0.102,0.148,RAS_12,12,Codon 12
single,Tumor type,RAS,uterine cancer,Not Applicable or Heme,11,76,0.136,0.134,0.101,0.186,RAS_12,12,Codon 12
single,Tumor type,RAS,uterine cancer,Primary,209,1541,0.135,0.135,0.119,0.151,RAS_12,12,Codon 12
single,Tumor type,RAS,uterine cancer,Unspecified,10,51,0.144,0.138,0.108,0.22,RAS_12,12,Codon 12
single,Tumor type,RAS,non-melanoma skin cancers,Metastasis,4,203,0.019,0.018,0.008,0.036,RAS_12,12,Codon 12
single,Tumor type,RAS,non-melanoma skin cancers,Not Applicable or Heme,1,22,0.022,0.018,0.007,0.065,RAS_12,12,Codon 12
single,Tumor type,RAS,non-melanoma skin cancers,Primary,4,287,0.017,0.016,0.007,0.031,RAS_12,12,Codon 12
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Metastasis,0,11,0.038,0.038,0.002,0.076,RAS_12,12,Codon 12
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Not Applicable or Heme,35,915,0.039,0.039,0.028,0.052,RAS_12,12,Codon 12
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Primary,14,250,0.047,0.045,0.03,0.075,RAS_12,12,Codon 12
single,Tumor type,RAS,myelodysplastic/myeloproliferative syndromes,Unspecified,0,31,0.035,0.037,0.002,0.063,RAS_12,12,Codon 12
single,Tumor type,RAS,adrenocortical carcinoma,Metastasis,0,55,0,0,0,0.004,RAS_12,12,Codon 12
single,Tumor type,RAS,adrenocortical carcinoma,Primary,0,72,0,0,0,0.003,RAS_12,12,Codon 12
single,Tumor type,RAS,ovarian cancer,Metastasis,83,1088,0.079,0.079,0.064,0.095,RAS_12,12,Codon 12
single,Tumor type,RAS,ovarian cancer,Not Applicable or Heme,9,160,0.075,0.077,0.041,0.104,RAS_12,12,Codon 12
single,Tumor type,RAS,ovarian cancer,Primary,109,1060,0.098,0.098,0.081,0.117,RAS_12,12,Codon 12
single,Tumor type,RAS,ovarian cancer,Unspecified,4,28,0.098,0.091,0.056,0.176,RAS_12,12,Codon 12
single,Tumor type,RAS,esophagogastric cancer,Metastasis,17,462,0.038,0.037,0.026,0.052,RAS_12,12,Codon 12
single,Tumor type,RAS,esophagogastric cancer,Not Applicable or Heme,2,43,0.04,0.038,0.022,0.069,RAS_12,12,Codon 12
single,Tumor type,RAS,esophagogastric cancer,Primary,48,1283,0.038,0.038,0.029,0.048,RAS_12,12,Codon 12
single,Tumor type,RAS,esophagogastric cancer,Unspecified,1,14,0.041,0.038,0.021,0.084,RAS_12,12,Codon 12
single,Tumor type,RAS,thyroid cancer,Metastasis,7,402,0.015,0.014,0.007,0.027,RAS_12,12,Codon 12
single,Tumor type,RAS,thyroid cancer,Not Applicable or Heme,1,28,0.018,0.014,0.005,0.062,RAS_12,12,Codon 12
single,Tumor type,RAS,thyroid cancer,Primary,5,582,0.011,0.011,0.005,0.02,RAS_12,12,Codon 12
single,Tumor type,RAS,cervical cancer,Metastasis,13,136,0.082,0.08,0.049,0.131,RAS_12,12,Codon 12
single,Tumor type,RAS,cervical cancer,Not Applicable or Heme,1,12,0.079,0.073,0.028,0.174,RAS_12,12,Codon 12
single,Tumor type,RAS,cervical cancer,Primary,12,211,0.066,0.066,0.038,0.098,RAS_12,12,Codon 12
