cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Center,RAS,cancer of unknown primary,UCSF,10,49,0.198,0.194,0.106,0.312,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,UHN,0,24,0.059,0.05,0.006,0.155,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,VICC,15,64,0.226,0.224,0.137,0.331,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cancer of unknown primary,WAKE,2,43,0.072,0.067,0.019,0.156,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,DFCI,819,2495,0.327,0.327,0.309,0.345,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,DUKE,17,81,0.237,0.237,0.167,0.311,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,GRCC,34,228,0.179,0.178,0.133,0.229,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,JHU,541,1687,0.319,0.319,0.297,0.341,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,MDA,24,93,0.263,0.262,0.196,0.337,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,MSK,1079,3734,0.289,0.288,0.274,0.303,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,NKI,53,178,0.291,0.29,0.235,0.35,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,PHS,149,479,0.307,0.306,0.268,0.347,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,SCI,20,66,0.289,0.287,0.211,0.376,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,UCHI,13,37,0.305,0.302,0.215,0.415,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,UCSF,2,18,0.235,0.235,0.138,0.339,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,UHN,38,154,0.254,0.254,0.197,0.314,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,VICC,123,422,0.289,0.288,0.249,0.33,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,WAKE,69,379,0.196,0.196,0.158,0.236,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-small cell lung cancer,YALE,27,75,0.322,0.32,0.244,0.411,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,CRUK,15,2420,0.008,0.008,0.005,0.012,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,DFCI,19,1606,0.011,0.011,0.008,0.017,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,DUKE,1,43,0.014,0.011,0.005,0.035,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,GRCC,6,161,0.019,0.016,0.008,0.045,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,MDA,10,714,0.013,0.012,0.008,0.021,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,MSK,34,3631,0.01,0.01,0.007,0.013,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,NKI,1,21,0.015,0.012,0.006,0.043,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,PHS,1,29,0.014,0.012,0.005,0.039,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,SCI,1,90,0.012,0.011,0.005,0.026,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,UCSF,2,41,0.016,0.013,0.007,0.047,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,UHN,0,201,0.009,0.009,0.003,0.017,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,VHIO,1,16,0.015,0.012,0.006,0.047,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,VICC,3,315,0.011,0.01,0.005,0.02,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,WAKE,0,24,0.012,0.011,0.004,0.028,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,breast cancer,YALE,0,11,0.013,0.011,0.004,0.032,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,COLU,0,14,0.025,0.025,0.012,0.043,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,DFCI,19,793,0.025,0.024,0.017,0.033,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,GRCC,5,63,0.03,0.027,0.019,0.065,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,JHU,3,75,0.027,0.026,0.016,0.048,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,MDA,2,166,0.024,0.024,0.012,0.034,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,MSK,33,1387,0.025,0.024,0.018,0.032,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,NKI,0,55,0.024,0.024,0.011,0.036,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,PHS,1,17,0.027,0.025,0.015,0.049,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,UCSF,2,54,0.026,0.025,0.015,0.046,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,UHN,0,19,0.025,0.025,0.012,0.042,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,VICC,3,73,0.027,0.025,0.016,0.047,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,soft tissue sarcoma,WAKE,0,35,0.025,0.024,0.012,0.039,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,COLU,24,29,0.805,0.811,0.66,0.917,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,DFCI,377,532,0.709,0.709,0.669,0.746,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,DUKE,8,14,0.601,0.606,0.37,0.805,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,GRCC,21,33,0.645,0.647,0.486,0.786,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,JHU,13,17,0.748,0.756,0.553,0.902,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,MDA,47,62,0.753,0.756,0.645,0.847,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,MSK,1152,1477,0.78,0.78,0.758,0.8,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,NKI,13,13,0.895,0.908,0.726,0.99,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,PHS,25,30,0.811,0.816,0.67,0.921,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,SCI,25,32,0.769,0.774,0.622,0.889,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,UCSF,45,65,0.693,0.695,0.583,0.796,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,UHN,35,74,0.486,0.486,0.375,0.598,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,VHIO,9,10,0.824,0.837,0.609,0.964,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,VICC,49,83,0.596,0.597,0.493,0.696,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,pancreatic cancer,WAKE,0,16,0.163,0.147,0.021,0.388,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,CHOP,4,10,0.165,0.159,0.126,0.243,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,DFCI,45,269,0.159,0.158,0.132,0.194,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,JHU,37,219,0.159,0.158,0.131,0.196,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,MSK,9,39,0.164,0.159,0.129,0.233,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,UCHI,15,109,0.153,0.152,0.117,0.19,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,UCSF,3,13,0.16,0.156,0.122,0.225,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,UHN,81,608,0.145,0.146,0.12,0.169,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,leukemia,VICC,42,283,0.153,0.153,0.125,0.183,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,DFCI,134,432,0.284,0.283,0.247,0.33,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,GRCC,3,11,0.25,0.251,0.184,0.319,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,JHU,116,443,0.257,0.256,0.225,0.291,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,MDA,98,387,0.252,0.252,0.218,0.286,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,MSK,240,922,0.257,0.257,0.233,0.283,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,NKI,22,108,0.236,0.238,0.179,0.282,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,PHS,9,59,0.231,0.235,0.16,0.281,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,UCHI,9,32,0.253,0.252,0.194,0.319,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,UCSF,21,99,0.239,0.241,0.183,0.286,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,UHN,5,24,0.245,0.246,0.178,0.305,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,melanoma,VICC,61,294,0.23,0.231,0.187,0.267,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,DFCI,25,572,0.04,0.04,0.028,0.055,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,GRCC,2,156,0.031,0.032,0.009,0.048,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,MDA,6,156,0.037,0.037,0.02,0.057,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,MSK,30,610,0.043,0.042,0.031,0.06,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,NKI,0,15,0.035,0.035,0.008,0.059,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,PHS,0,14,0.034,0.035,0.008,0.059,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,UCSF,1,39,0.035,0.036,0.012,0.058,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,UHN,0,50,0.032,0.034,0.007,0.052,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,VICC,4,87,0.039,0.038,0.019,0.064,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,head and neck cancer,WAKE,0,27,0.033,0.035,0.008,0.055,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,DFCI,138,740,0.179,0.178,0.156,0.206,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,GRCC,1,18,0.158,0.163,0.076,0.209,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,MDA,5,46,0.158,0.162,0.091,0.202,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,MSK,174,1057,0.166,0.166,0.146,0.186,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,PHS,1,10,0.164,0.166,0.093,0.226,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,SCI,6,10,0.2,0.178,0.14,0.424,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,UCSF,10,65,0.165,0.166,0.114,0.211,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,UHN,20,139,0.161,0.163,0.115,0.197,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,VICC,4,46,0.154,0.16,0.082,0.198,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,uterine cancer,WAKE,20,96,0.179,0.175,0.14,0.238,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-melanoma skin cancers,DFCI,5,184,0.034,0.033,0.016,0.056,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-melanoma skin cancers,GRCC,0,13,0.036,0.034,0.012,0.076,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-melanoma skin cancers,MDA,1,13,0.041,0.037,0.017,0.102,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-melanoma skin cancers,MSK,8,244,0.035,0.034,0.019,0.056,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-melanoma skin cancers,UCSF,2,14,0.047,0.039,0.019,0.139,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,non-melanoma skin cancers,VICC,1,19,0.039,0.036,0.016,0.088,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,myelodysplastic/myeloproliferative syndromes,DFCI,11,190,0.06,0.059,0.039,0.085,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,myelodysplastic/myeloproliferative syndromes,JHU,3,28,0.067,0.062,0.038,0.126,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,myelodysplastic/myeloproliferative syndromes,MSK,2,28,0.063,0.06,0.034,0.112,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,myelodysplastic/myeloproliferative syndromes,UCHI,8,91,0.068,0.064,0.043,0.112,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,myelodysplastic/myeloproliferative syndromes,UHN,30,429,0.065,0.064,0.047,0.088,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,myelodysplastic/myeloproliferative syndromes,VICC,16,428,0.05,0.05,0.03,0.069,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,adrenocortical carcinoma,DFCI,0,26,0.008,0.004,0,0.039,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,adrenocortical carcinoma,GRCC,0,12,0.01,0.004,0,0.052,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,adrenocortical carcinoma,MDA,1,15,0.033,0.016,0.001,0.166,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,adrenocortical carcinoma,MSK,0,59,0.007,0.003,0,0.031,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,DFCI,100,822,0.114,0.114,0.097,0.134,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,GRCC,2,29,0.106,0.106,0.07,0.136,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,MDA,10,140,0.101,0.103,0.068,0.125,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,MSK,75,706,0.107,0.107,0.09,0.125,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,NKI,4,36,0.108,0.107,0.075,0.14,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,SCI,2,25,0.106,0.106,0.072,0.137,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,UCSF,2,55,0.101,0.103,0.062,0.128,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,UHN,38,339,0.109,0.109,0.088,0.132,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,VICC,9,88,0.107,0.107,0.078,0.135,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,ovarian cancer,WAKE,12,78,0.114,0.111,0.088,0.154,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,COLU,3,14,0.099,0.077,0.038,0.266,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,DFCI,34,658,0.053,0.053,0.038,0.069,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,DUKE,2,23,0.067,0.06,0.024,0.152,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,GRCC,4,47,0.069,0.062,0.031,0.137,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,JHU,3,14,0.098,0.077,0.037,0.264,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,MDA,1,129,0.033,0.031,0.006,0.064,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,MSK,43,694,0.061,0.06,0.046,0.079,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,NKI,0,24,0.045,0.046,0.007,0.092,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,SCI,1,10,0.069,0.059,0.019,0.177,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,UCSF,1,30,0.051,0.051,0.013,0.104,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,UHN,1,49,0.045,0.045,0.011,0.084,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,VICC,8,72,0.084,0.077,0.045,0.157,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,esophagogastric cancer,WAKE,0,19,0.047,0.047,0.007,0.101,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,DFCI,59,372,0.167,0.167,0.131,0.204,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,GRCC,1,18,0.161,0.166,0.063,0.244,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,JHU,3,23,0.173,0.175,0.087,0.256,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,MDA,5,43,0.163,0.166,0.084,0.234,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,MSK,105,449,0.223,0.222,0.184,0.264,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,UCHI,1,10,0.176,0.178,0.077,0.276,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,UCSF,6,17,0.223,0.21,0.138,0.375,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,UHN,11,41,0.215,0.208,0.144,0.323,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,thyroid cancer,VICC,4,26,0.178,0.18,0.096,0.262,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cervical cancer,DFCI,7,89,0.09,0.089,0.055,0.13,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cervical cancer,GRCC,2,35,0.089,0.089,0.047,0.134,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cervical cancer,MDA,4,39,0.094,0.092,0.056,0.143,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cervical cancer,MSK,14,128,0.096,0.095,0.063,0.138,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cervical cancer,UHN,3,42,0.09,0.089,0.05,0.134,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,cervical cancer,WAKE,2,12,0.097,0.093,0.056,0.163,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,DFCI,34,244,0.13,0.129,0.103,0.166,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,DUKE,1,12,0.125,0.124,0.077,0.18,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,GRCC,15,113,0.128,0.126,0.095,0.168,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,JHU,2,12,0.129,0.126,0.084,0.193,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,MDA,2,56,0.114,0.117,0.057,0.149,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,MSK,90,743,0.123,0.123,0.103,0.144,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,PHS,3,19,0.129,0.126,0.088,0.19,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,UCSF,2,21,0.124,0.124,0.078,0.172,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,UHN,10,43,0.141,0.133,0.103,0.225,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,hepatobiliary cancer,VICC,10,85,0.125,0.124,0.087,0.163,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,DFCI,4,503,0.009,0.009,0.004,0.016,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,DUKE,0,17,0.01,0.009,0.003,0.02,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,GRCC,1,32,0.011,0.01,0.004,0.026,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,MDA,1,116,0.01,0.009,0.004,0.018,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,MSK,6,620,0.01,0.009,0.005,0.016,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,SCI,0,11,0.01,0.009,0.003,0.021,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,UCSF,0,18,0.01,0.009,0.003,0.02,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Center,RAS,kidney cancer,UHN,1,17,0.011,0.01,0.004,0.028,RAS_12-61,12-61,"Codon 12, 13, or 61"
