cancer_group,confounder,hugo_symbol,cancer,variable,y,n,mean,median,q1,q2,ras,codon_range,codon
single,Race,RAS,myelodysplastic/myeloproliferative syndromes,White,30,584,0.053,0.053,0.036,0.071,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,adrenocortical carcinoma,"NA",0,26,0.009,0.005,0,0.038,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,adrenocortical carcinoma,White,1,103,0.01,0.007,0,0.034,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,ovarian cancer,Asian,15,134,0.114,0.113,0.086,0.148,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,ovarian cancer,Black,11,74,0.119,0.116,0.092,0.17,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,ovarian cancer,"NA",24,239,0.11,0.11,0.084,0.136,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,ovarian cancer,Other,7,36,0.122,0.116,0.091,0.188,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,ovarian cancer,White,203,1852,0.111,0.111,0.098,0.124,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,esophagogastric cancer,Asian,6,115,0.055,0.055,0.035,0.076,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,esophagogastric cancer,Black,2,68,0.054,0.054,0.029,0.074,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,esophagogastric cancer,"NA",10,191,0.055,0.055,0.037,0.075,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,esophagogastric cancer,Other,3,46,0.057,0.056,0.036,0.084,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,esophagogastric cancer,White,81,1379,0.057,0.057,0.047,0.069,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thyroid cancer,Asian,14,66,0.214,0.209,0.153,0.294,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thyroid cancer,Black,14,40,0.256,0.241,0.176,0.404,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thyroid cancer,"NA",16,79,0.209,0.206,0.15,0.281,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thyroid cancer,Other,8,26,0.238,0.225,0.164,0.378,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thyroid cancer,White,147,803,0.189,0.189,0.163,0.216,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cervical cancer,Asian,5,27,0.109,0.1,0.061,0.212,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cervical cancer,Black,1,19,0.089,0.089,0.032,0.146,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cervical cancer,"NA",7,77,0.092,0.091,0.053,0.139,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cervical cancer,Other,0,15,0.085,0.086,0.019,0.14,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cervical cancer,White,21,228,0.093,0.092,0.063,0.128,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,hepatobiliary cancer,Asian,12,98,0.119,0.119,0.079,0.163,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,hepatobiliary cancer,Black,3,64,0.101,0.107,0.038,0.142,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,hepatobiliary cancer,"NA",28,235,0.119,0.119,0.088,0.15,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,hepatobiliary cancer,Other,1,25,0.107,0.112,0.038,0.152,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,hepatobiliary cancer,White,126,948,0.128,0.127,0.109,0.149,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,kidney cancer,Asian,0,33,0.01,0.009,0.001,0.024,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,kidney cancer,Black,2,77,0.012,0.01,0.004,0.035,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,kidney cancer,"NA",2,169,0.01,0.009,0.004,0.022,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,kidney cancer,Other,0,29,0.01,0.009,0.001,0.023,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,kidney cancer,White,9,1113,0.009,0.009,0.005,0.015,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mature t and nk neoplasms,Asian,0,12,0.023,0.02,0.001,0.065,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mature t and nk neoplasms,Black,1,18,0.028,0.023,0.005,0.089,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mature t and nk neoplasms,"NA",0,10,0.023,0.02,0.001,0.065,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mature t and nk neoplasms,White,4,188,0.022,0.021,0.007,0.045,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cns cancer,Asian,2,154,0.015,0.015,0.008,0.024,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cns cancer,Black,1,131,0.015,0.014,0.007,0.023,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cns cancer,"NA",17,817,0.017,0.016,0.011,0.025,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cns cancer,Other,2,108,0.015,0.015,0.008,0.027,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cns cancer,Undefined,0,17,0.015,0.015,0.007,0.026,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,cns cancer,White,45,3331,0.014,0.014,0.011,0.018,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,prostate cancer,Asian,1,62,0.014,0.013,0.005,0.03,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,prostate cancer,Black,5,175,0.017,0.015,0.009,0.036,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,prostate cancer,"NA",2,289,0.012,0.012,0.004,0.02,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,prostate cancer,Other,0,31,0.013,0.013,0.003,0.028,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,prostate cancer,White,24,1882,0.013,0.013,0.009,0.018,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,anal cancer,"NA",0,13,0.027,0.023,0,0.09,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,anal cancer,White,5,126,0.038,0.036,0.013,0.076,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,neuroendocrine tumors,Black,1,23,0.081,0.08,0.011,0.173,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,neuroendocrine tumors,"NA",10,45,0.175,0.168,0.081,0.31,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,neuroendocrine tumors,White,23,283,0.086,0.085,0.056,0.121,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bladder cancer,Asian,3,40,0.085,0.085,0.044,0.132,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bladder cancer,Black,2,43,0.08,0.082,0.033,0.119,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bladder cancer,"NA",12,169,0.081,0.082,0.05,0.11,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bladder cancer,Other,4,14,0.11,0.092,0.064,0.281,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bladder cancer,White,115,1311,0.087,0.087,0.073,0.102,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b-lymphoblastic leukemia/lymphoma,Asian,2,17,0.154,0.154,0.071,0.239,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b-lymphoblastic leukemia/lymphoma,"NA",14,92,0.157,0.155,0.104,0.216,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b-lymphoblastic leukemia/lymphoma,White,21,125,0.161,0.16,0.112,0.218,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,small bowel cancer,Black,16,25,0.533,0.525,0.362,0.747,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,small bowel cancer,"NA",9,22,0.422,0.419,0.267,0.587,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,small bowel cancer,White,55,150,0.382,0.383,0.306,0.46,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,sex cord stromal tumor,"NA",1,23,0.03,0.023,0.003,0.102,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,sex cord stromal tumor,White,1,69,0.021,0.018,0.002,0.061,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bone cancer,Asian,1,30,0.015,0.011,0.003,0.054,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bone cancer,Black,0,32,0.011,0.01,0,0.029,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bone cancer,"NA",0,86,0.01,0.009,0,0.023,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bone cancer,Other,1,29,0.016,0.012,0.003,0.061,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,bone cancer,White,4,391,0.011,0.01,0.004,0.021,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,vaginal cancer,White,4,68,0.06,0.056,0.018,0.127,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thymic tumor,Asian,0,13,0.025,0.019,0,0.088,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thymic tumor,"NA",0,23,0.022,0.017,0,0.076,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,thymic tumor,White,6,108,0.049,0.047,0.018,0.097,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,ampullary cancer,White,48,86,0.558,0.559,0.453,0.66,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,small cell lung cancer,Asian,0,15,0.034,0.032,0.002,0.078,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,small cell lung cancer,"NA",1,30,0.037,0.034,0.007,0.084,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,small cell lung cancer,White,13,337,0.037,0.036,0.02,0.059,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mesothelioma,Asian,0,11,0.004,0.002,0,0.024,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mesothelioma,Black,0,10,0.004,0.002,0,0.022,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mesothelioma,"NA",0,32,0.003,0.002,0,0.016,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,mesothelioma,White,1,434,0.003,0.002,0,0.009,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,germ cell tumor,Asian,4,36,0.086,0.081,0.036,0.168,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,germ cell tumor,Black,0,23,0.055,0.056,0.004,0.11,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,germ cell tumor,"NA",9,179,0.06,0.059,0.029,0.095,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,germ cell tumor,Other,1,37,0.058,0.058,0.01,0.108,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,germ cell tumor,White,60,603,0.094,0.094,0.072,0.119,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,nerve sheath tumor,Black,0,12,0.016,0.012,0,0.061,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,nerve sheath tumor,"NA",1,26,0.021,0.015,0.002,0.079,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,nerve sheath tumor,White,1,105,0.014,0.012,0.001,0.039,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,penile cancer,White,1,20,0.056,0.042,0.003,0.185,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,pheochromocytoma,White,0,15,0.003,0,0,0.036,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,pineal tumor,White,1,14,0.078,0.06,0.003,0.252,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b cell lymphoma,Asian,0,21,0.044,0.047,0.001,0.098,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b cell lymphoma,Black,0,25,0.042,0.045,0,0.091,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b cell lymphoma,"NA",6,42,0.093,0.078,0.042,0.208,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b cell lymphoma,Other,1,12,0.066,0.057,0.012,0.181,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,b cell lymphoma,White,47,859,0.055,0.055,0.041,0.071,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,non-hodgkin lymphoma,White,2,19,0.11,0.097,0.017,0.276,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,t-lymphoblastic leukemia/lymphoma,"NA",0,11,0.055,0.031,0,0.217,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,t-lymphoblastic leukemia/lymphoma,White,4,23,0.152,0.141,0.043,0.321,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,retinoblastoma,"NA",0,11,0.002,0,0,0.026,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,retinoblastoma,White,0,25,0.002,0,0,0.02,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,hodgkin lymphoma,White,0,30,0.001,0,0,0.017,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,lung cancer,White,3,17,0.181,0.168,0.043,0.389,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,peritoneal cancer,White,0,11,0.002,0,0,0.025,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,parathyroid cancer,White,4,14,0.287,0.276,0.092,0.537,RAS_12-61,12-61,"Codon 12, 13, or 61"
single,Race,RAS,appendiceal cancer,Black,6,17,0.414,0.42,0.262,0.527,RAS_12,12,Codon 12
single,Race,RAS,appendiceal cancer,"NA",15,33,0.434,0.432,0.334,0.548,RAS_12,12,Codon 12
single,Race,RAS,appendiceal cancer,White,121,280,0.431,0.431,0.377,0.486,RAS_12,12,Codon 12
single,Race,RAS,colorectal cancer,Asian,100,313,0.324,0.323,0.284,0.365,RAS_12,12,Codon 12
single,Race,RAS,colorectal cancer,Black,193,515,0.356,0.355,0.316,0.399,RAS_12,12,Codon 12
single,Race,RAS,colorectal cancer,"NA",257,804,0.322,0.322,0.294,0.35,RAS_12,12,Codon 12
single,Race,RAS,colorectal cancer,Native American,9,17,0.347,0.338,0.284,0.46,RAS_12,12,Codon 12
single,Race,RAS,colorectal cancer,Other,46,139,0.329,0.327,0.281,0.384,RAS_12,12,Codon 12
single,Race,RAS,colorectal cancer,White,1490,4925,0.305,0.305,0.292,0.317,RAS_12,12,Codon 12
single,Race,RAS,cancer of unknown primary,Asian,9,73,0.155,0.157,0.105,0.193,RAS_12,12,Codon 12
single,Race,RAS,cancer of unknown primary,Black,23,123,0.167,0.165,0.133,0.216,RAS_12,12,Codon 12
single,Race,RAS,cancer of unknown primary,"NA",38,286,0.151,0.153,0.115,0.181,RAS_12,12,Codon 12
single,Race,RAS,cancer of unknown primary,Other,7,36,0.165,0.163,0.121,0.227,RAS_12,12,Codon 12
single,Race,RAS,cancer of unknown primary,White,247,1465,0.166,0.166,0.149,0.184,RAS_12,12,Codon 12
single,Race,RAS,non-small cell lung cancer,Asian,56,624,0.096,0.095,0.074,0.12,RAS_12,12,Codon 12
single,Race,RAS,non-small cell lung cancer,Black,173,717,0.239,0.239,0.209,0.271,RAS_12,12,Codon 12
single,Race,RAS,non-small cell lung cancer,"NA",184,849,0.216,0.216,0.189,0.244,RAS_12,12,Codon 12
single,Race,RAS,non-small cell lung cancer,Native American,4,17,0.213,0.207,0.101,0.367,RAS_12,12,Codon 12
single,Race,RAS,non-small cell lung cancer,Other,29,165,0.178,0.177,0.128,0.235,RAS_12,12,Codon 12
single,Race,RAS,non-small cell lung cancer,Undefined,1,10,0.171,0.164,0.058,0.319,RAS_12,12,Codon 12
single,Race,RAS,non-small cell lung cancer,White,2104,7745,0.271,0.271,0.261,0.281,RAS_12,12,Codon 12
single,Race,RAS,breast cancer,Asian,2,334,0.008,0.008,0.005,0.012,RAS_12,12,Codon 12
single,Race,RAS,breast cancer,Black,3,526,0.008,0.008,0.004,0.011,RAS_12,12,Codon 12
single,Race,RAS,breast cancer,"NA",23,3112,0.008,0.008,0.006,0.01,RAS_12,12,Codon 12
single,Race,RAS,breast cancer,Native American,0,11,0.008,0.008,0.004,0.013,RAS_12,12,Codon 12
single,Race,RAS,breast cancer,Other,2,176,0.008,0.008,0.005,0.013,RAS_12,12,Codon 12
single,Race,RAS,breast cancer,White,45,5174,0.008,0.008,0.006,0.011,RAS_12,12,Codon 12
single,Race,RAS,soft tissue sarcoma,Asian,0,143,0.01,0.01,0.002,0.016,RAS_12,12,Codon 12
single,Race,RAS,soft tissue sarcoma,Black,2,193,0.011,0.01,0.005,0.019,RAS_12,12,Codon 12
single,Race,RAS,soft tissue sarcoma,"NA",5,350,0.011,0.011,0.006,0.02,RAS_12,12,Codon 12
single,Race,RAS,soft tissue sarcoma,Other,1,73,0.011,0.01,0.005,0.022,RAS_12,12,Codon 12
single,Race,RAS,soft tissue sarcoma,White,21,2005,0.011,0.01,0.007,0.015,RAS_12,12,Codon 12
single,Race,RAS,pancreatic cancer,Asian,61,100,0.651,0.657,0.575,0.7,RAS_12,12,Codon 12
single,Race,RAS,pancreatic cancer,Black,59,88,0.665,0.667,0.604,0.718,RAS_12,12,Codon 12
single,Race,RAS,pancreatic cancer,"NA",154,231,0.666,0.667,0.62,0.706,RAS_12,12,Codon 12
single,Race,RAS,pancreatic cancer,Other,19,34,0.65,0.658,0.55,0.705,RAS_12,12,Codon 12
single,Race,RAS,pancreatic cancer,White,1385,2038,0.676,0.676,0.657,0.696,RAS_12,12,Codon 12
single,Race,RAS,leukemia,Asian,3,37,0.089,0.089,0.058,0.122,RAS_12,12,Codon 12
single,Race,RAS,leukemia,Black,5,69,0.088,0.088,0.056,0.117,RAS_12,12,Codon 12
single,Race,RAS,leukemia,"NA",69,777,0.089,0.089,0.073,0.106,RAS_12,12,Codon 12
