cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,120,43,"beta[13,4]",0.714,0.008,0.318,0.103,0.203,0.504,0.706,0.924,1.263,1.352,1544.205,1,Signature.R2,2.242,1.6,65,89,12,31,197,2.318,0.89,0.38,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,6,12,"beta[14,4]",0.704,0.015,0.624,-0.521,-0.311,0.285,0.712,1.119,1.721,1.895,1664.06,0.999,Signature.U1,1.129,0.59,94,4,10,2,110,1.296,0.59,0.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,NRF2_pathway_oxidative_stress_response,non-small cell lung cancer,333,419,mu_beta[3],0.478,0.007,0.278,-0.059,0.019,0.292,0.475,0.669,0.935,1.002,1564.73,0.999,overall,1.719,1.07,1909,247,333,86,2575,24.825,6.2,4.82,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,6,15,"beta[3,4]",0.211,0.018,0.722,-1.248,-0.944,-0.293,0.238,0.706,1.366,1.54,1528.781,0.998,Signature.15,0.293,0.11,114,5,14,1,134,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,34,11,"beta[4,4]",0.191,0.015,0.564,-0.948,-0.764,-0.179,0.2,0.591,1.063,1.202,1468.581,1,Signature.18,0.339,0.13,107,31,8,3,149,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,7,35,"beta[5,4]",0.007,0.019,0.681,-1.391,-1.166,-0.452,0.024,0.489,1.081,1.28,1234.371,1.002,Signature.1A,0.01,0,221,6,34,1,262,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,37,35,"beta[6,4]",0.247,0.012,0.46,-0.687,-0.541,-0.062,0.25,0.554,0.961,1.127,1481.339,1,Signature.2,0.536,0.23,255,32,30,5,322,0.072,0.1,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,10,26,"beta[7,4]",-0.017,0.018,0.687,-1.457,-1.211,-0.462,0.008,0.466,1.078,1.236,1501.217,1.004,Signature.3,-0.025,0.01,207,9,25,1,242,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,82,123,"beta[8,4]",0.163,0.008,0.282,-0.4,-0.306,-0.017,0.168,0.354,0.62,0.713,1367.089,1.002,Signature.4,0.578,0.25,513,66,107,16,702,0.123,0.14,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,120,19,"beta[9,4]",-0.17,0.011,0.42,-0.994,-0.871,-0.447,-0.163,0.121,0.502,0.599,1349.349,0.999,Signature.R2,-0.404,0.16,68,110,9,10,197,0.282,0.23,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,6,13,"beta[10,4]",0.615,0.019,0.694,-0.813,-0.567,0.152,0.634,1.101,1.703,1.888,1389.458,1.001,Signature.U1,0.885,0.42,93,4,11,2,110,1.058,0.52,0.16,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,wnt,non-small cell lung cancer,311,302,mu_beta[3],0.243,0.01,0.368,-0.462,-0.35,0.003,0.24,0.487,0.847,0.956,1384.043,0.999,overall,0.661,0.29,1700,268,259,43,2270,0.041,0.08,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,6,17,"beta[3,4]",0.626,0.016,0.624,-0.591,-0.423,0.202,0.629,1.063,1.612,1.767,1542.712,1.001,Signature.15,1.004,0.5,112,5,16,1,134,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,34,32,"beta[4,4]",0.737,0.01,0.383,-0.006,0.123,0.48,0.735,0.998,1.368,1.505,1378.911,1.004,Signature.18,1.923,1.26,93,24,22,10,149,1.092,0.53,0.16,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,7,32,"beta[5,4]",1.176,0.015,0.562,0.058,0.225,0.808,1.186,1.545,2.094,2.251,1374.845,0.999,Signature.1A,2.092,1.44,226,4,29,3,262,3.705,1.27,0.64,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,37,89,"beta[6,4]",0.954,0.009,0.336,0.313,0.412,0.721,0.96,1.188,1.509,1.612,1468.156,0.999,Signature.2,2.841,2.35,213,20,72,17,322,6.009,1.85,0.97,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,10,38,"beta[7,4]",1.327,0.013,0.517,0.288,0.473,0.98,1.323,1.679,2.165,2.314,1513.209,1.001,Signature.3,2.565,1.99,199,5,33,5,242,6.764,2.03,1.09,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,82,258,"beta[8,4]",0.876,0.006,0.23,0.434,0.495,0.727,0.869,1.022,1.261,1.354,1533.625,0.999,Signature.4,3.815,3.87,407,37,213,45,702,12.255,3.33,2.25,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,8,26,"beta[10,4]",1.07,0.015,0.573,-0.078,0.144,0.692,1.076,1.451,2.032,2.211,1547.611,1.001,Signature.7,1.868,1.21,77,4,22,4,107,1.778,0.74,0.24,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,7,16,"beta[11,4]",1.301,0.015,0.572,0.213,0.346,0.914,1.301,1.686,2.256,2.444,1511.772,0.999,Signature.8,2.275,1.64,43,3,12,4,62,2.412,0.92,0.38,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,120,53,"beta[12,4]",0.516,0.008,0.318,-0.09,-0.005,0.31,0.51,0.721,1.049,1.158,1626.795,0.998,Signature.R2,1.626,0.98,59,85,18,35,197,0.532,0.33,0.02,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,6,16,"beta[13,4]",0.587,0.017,0.635,-0.678,-0.43,0.161,0.589,1.005,1.612,1.863,1472.397,1,Signature.U1,0.924,0.45,89,5,15,1,110,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,DDR,non-small cell lung cancer,334,672,mu_beta[3],1.022,0.007,0.29,0.475,0.574,0.828,1.006,1.215,1.51,1.603,1612.575,1.001,overall,3.529,3.38,1670,195,533,139,2537,44.322,10.55,9.05,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,6,70,"beta[4,4]",0.224,0.013,0.478,-0.744,-0.562,-0.107,0.233,0.547,1.01,1.117,1378.59,0.999,Signature.15,0.468,0.19,63,1,65,5,134,1.304,0.6,0.19,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,34,80,"beta[7,4]",0.137,0.009,0.342,-0.513,-0.405,-0.095,0.14,0.36,0.719,0.824,1419.875,1,Signature.18,0.401,0.16,53,16,62,18,149,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,6,33,"beta[8,4]",-0.048,0.014,0.516,-1.103,-0.926,-0.392,-0.019,0.297,0.752,0.949,1309.642,1,Signature.19,-0.092,0.03,26,3,30,3,62,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,7,166,"beta[9,4]",-0.185,0.012,0.448,-1.037,-0.897,-0.481,-0.198,0.107,0.569,0.728,1453.552,1.002,Signature.1A,-0.413,0.17,94,2,161,5,262,0.003,0.02,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,37,173,"beta[11,4]",0.494,0.008,0.306,-0.083,-0.016,0.285,0.496,0.704,0.987,1.106,1369.91,1,Signature.2,1.615,0.97,137,12,148,25,322,2.623,0.98,0.41,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,10,127,"beta[14,4]",0.14,0.011,0.419,-0.676,-0.547,-0.154,0.14,0.411,0.813,0.969,1341.352,0.999,Signature.3,0.335,0.13,112,3,120,7,242,0.656,0.38,0.05,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,82,410,"beta[15,4]",0.535,0.006,0.236,0.101,0.165,0.375,0.529,0.686,0.93,1.024,1524.635,0.998,Signature.4,2.264,1.63,268,24,352,58,702,5.247,1.66,0.85,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,8,56,"beta[18,4]",-0.726,0.014,0.498,-1.788,-1.572,-1.044,-0.695,-0.377,0.035,0.178,1330.553,0.998,Signature.7,-1.458,0.84,44,7,55,1,107,3.91,1.32,0.67,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,7,31,"beta[19,4]",-0.06,0.013,0.467,-1.039,-0.857,-0.364,-0.043,0.259,0.712,0.835,1299.596,0.999,Signature.8,-0.128,0.05,27,4,28,3,62,0,-0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,120,81,"beta[20,4]",0.131,0.008,0.251,-0.367,-0.285,-0.041,0.125,0.307,0.551,0.625,1094.831,1.004,Signature.R2,0.521,0.22,45,71,32,49,197,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,6,60,"beta[22,4]",0.029,0.013,0.496,-0.899,-0.748,-0.296,0.021,0.347,0.856,1.003,1392.381,1.001,Signature.U1,0.059,0.02,48,2,56,4,110,0.037,0.07,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_extended,non-small cell lung cancer,357,1622,mu_beta[3],-0.05,0.006,0.208,-0.475,-0.401,-0.191,-0.052,0.092,0.285,0.349,1290.657,0.999,overall,-0.24,0.09,1189,161,1426,196,2972,0.006,0.03,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,6,17,"beta[3,4]",-0.128,0.018,0.694,-1.586,-1.305,-0.591,-0.104,0.356,0.959,1.162,1544.834,1,Signature.15,-0.185,0.07,112,5,16,1,134,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,34,28,"beta[4,4]",-0.085,0.011,0.433,-0.972,-0.832,-0.363,-0.079,0.214,0.609,0.696,1418.001,1,Signature.18,-0.195,0.07,93,28,22,6,149,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,7,33,"beta[5,4]",-0.222,0.017,0.662,-1.58,-1.36,-0.652,-0.193,0.241,0.82,0.997,1438.589,1,Signature.1A,-0.335,0.13,223,6,32,1,262,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,37,92,"beta[6,4]",0.465,0.009,0.33,-0.19,-0.078,0.252,0.468,0.683,1.019,1.108,1388.472,1.001,Signature.2,1.41,0.8,208,22,77,15,322,2.309,0.89,0.38,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,10,41,"beta[8,4]",0.197,0.014,0.552,-0.91,-0.703,-0.167,0.202,0.572,1.059,1.244,1464.536,1,Signature.3,0.358,0.14,194,7,38,3,242,0.481,0.31,0.01,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,82,164,"beta[9,4]",0.109,0.007,0.254,-0.399,-0.308,-0.063,0.107,0.275,0.531,0.612,1525.399,0.999,Signature.4,0.426,0.17,477,61,143,21,702,0.139,0.15,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,8,23,"beta[10,4]",-0.782,0.019,0.691,-2.268,-1.965,-1.216,-0.746,-0.314,0.267,0.465,1378.643,0.999,Signature.7,-1.132,0.59,76,8,23,0,107,1.191,0.56,0.18,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,120,28,"beta[11,4]",-0.149,0.009,0.363,-0.884,-0.749,-0.378,-0.151,0.093,0.449,0.58,1660.099,0.999,Signature.R2,-0.412,0.17,65,104,12,16,197,0.054,0.09,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,6,16,"beta[12,4]",-0.579,0.019,0.725,-2.115,-1.853,-1.019,-0.547,-0.083,0.52,0.694,1450.499,1.001,Signature.U1,-0.799,0.37,88,6,16,0,110,0.197,0.18,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,RAS_RAF_MAPK_brief,non-small cell lung cancer,326,514,mu_beta[3],-0.166,0.008,0.314,-0.787,-0.688,-0.387,-0.156,0.052,0.341,0.44,1589.353,0.998,overall,-0.527,0.22,1725,259,447,67,2498,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,6,15,"beta[2,4]",0.59,0.018,0.693,-0.805,-0.617,0.138,0.609,1.062,1.693,1.873,1451.165,1,Signature.15,0.851,0.4,115,4,13,2,134,1.204,0.56,0.18,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,34,12,"beta[3,4]",-0.218,0.016,0.593,-1.445,-1.224,-0.59,-0.197,0.2,0.718,0.879,1456.656,0.999,Signature.18,-0.368,0.15,105,32,10,2,149,0.029,0.06,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,7,29,"beta[4,4]",0.04,0.018,0.702,-1.408,-1.148,-0.425,0.053,0.521,1.193,1.39,1490.545,0.998,Signature.1A,0.058,0.02,227,6,28,1,262,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,37,84,"beta[5,4]",0.889,0.009,0.342,0.227,0.324,0.674,0.887,1.111,1.44,1.581,1599.197,1,Signature.2,2.602,2.03,218,20,67,17,322,7.426,2.19,1.21,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,10,23,"beta[7,4]",-0.499,0.022,0.776,-2.191,-1.875,-0.997,-0.457,0.047,0.699,0.866,1286.06,1.004,Signature.3,-0.643,0.28,209,10,23,0,242,0.246,0.21,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,82,89,"beta[8,4]",0.615,0.008,0.291,0.063,0.139,0.422,0.614,0.804,1.1,1.203,1507.055,0.999,Signature.4,2.11,1.46,548,65,72,17,702,4.647,1.51,0.78,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,8,18,"beta[9,4]",-0.139,0.019,0.681,-1.585,-1.353,-0.559,-0.107,0.312,0.968,1.192,1352.075,1.002,Signature.7,-0.204,0.08,82,7,17,1,107,0,0,-0,TRUE,3.21,3.21
single,Any mutation (gene_pathways),Mutation signature,KRAS_12C,PI3K_AKT,non-small cell lung cancer,120,15,"beta[10,4]",-0.031,0.012,0.449,-0.921,-0.769,-0.332,-0.034,0.27,0.71,0.809,1439.811,1.001,Signature.R2,-0.069,0.02,71,111,6,9,197,0,-0,-0,TRUE,3.21,3.21
